x,y
-9.4089,38.90877
-9.40782,38.90815
-9.40821,38.90859
-9.408,38.90863
-9.40915,38.91012
-9.40949,38.91015
-9.40885,38.91038
-9.40799,38.91063
-9.40773,38.91113
-9.40742,38.91134
-9.40492,38.91174
-9.40627,38.91249
-9.40608,38.91266
-9.40603,38.91289
-9.41407,38.91725
-9.41226,38.91651
-9.40576,38.91536
-9.41701,38.92558
-9.41694,38.92955
-9.39803,38.85581
-9.39676,38.85646
-9.39662,38.85645
-9.39819,38.859
-9.39765,38.86034
-9.39792,38.86047
-9.39798,38.86063
-9.39626,38.86023
-9.39859,38.86297
-9.39805,38.86304
-9.34438,38.84864
-9.31741,38.86375
-9.32186,38.8661
-9.31652,38.86538
-9.31794,38.86594
-9.31901,38.86653
-9.31771,38.86557
-9.3175,38.866
-9.3169,38.86573
-9.31652,38.86607
-9.31654,38.86619
-9.31685,38.86628
-9.31666,38.86631
-9.31649,38.86654
-9.31647,38.86663
-9.31833,38.86704
-9.31809,38.86714
-9.3176,38.86698
-9.31676,38.86689
-9.31658,38.86695
-9.31775,38.868
-9.31659,38.86783
-9.31701,38.86807
-9.31864,38.86957
-9.31843,38.8691
-9.31857,38.87324
-9.31745,38.87353
-9.32558,38.87776
-9.32495,38.87776
-9.3224,38.87753
-9.32221,38.8776
-9.32664,38.87804
-9.32536,38.87816
-9.32537,38.87822
-9.32339,38.87802
-9.4036,38.91484
-9.32676,38.91285
-9.32577,38.91322
-9.32207,38.9129
-9.35568,38.91411
-9.35501,38.91726
-9.3549,38.91767
-9.35219,38.91658
-9.35471,38.9179
-9.35437,38.91789
-9.35422,38.91812
-9.35441,38.91822
-9.35445,38.91853
-9.3542,38.91875
-9.35414,38.91866
-9.35408,38.91888
-9.35341,38.91907
-9.35916,38.92176
-9.35611,38.91985
-9.35395,38.91912
-9.34916,38.91572
-9.3386,38.91376
-9.34136,38.92172
-9.32698,38.91434
-9.32648,38.91572
-9.32218,38.91427
-9.3238,38.91601
-9.323,38.91643
-9.32192,38.91764
-9.32192,38.91782
-9.32059,38.91361
-9.32189,38.92095
-9.31828,38.91935
-9.32162,38.92278
-9.32111,38.92416
-9.31901,38.92293
-9.33901,38.97663
-9.32708,38.96829
-9.3269,38.96846
-9.32678,38.96846
-9.3353,38.97269
-9.3275,38.97062
-9.32747,38.97193
-9.32804,38.97327
-9.33608,38.97886
-9.33612,38.97906
-9.33586,38.97885
-9.33593,38.9791
-9.3359,38.9794
-9.32949,38.97524
-9.32929,38.97497
-9.32888,38.97526
-9.32826,38.97407
-9.32852,38.97443
-9.32791,38.97433
-9.32766,38.97464
-9.32985,38.97654
-9.32908,38.97637
-9.32809,38.97634
-9.32805,38.9766
-9.32762,38.97647
-9.32746,38.97641
-9.33092,38.97716
-9.33049,38.97728
-9.33,38.977
-9.32889,38.97702
-9.32804,38.97703
-9.32778,38.97693
-9.32747,38.977
-9.32791,38.97737
-9.32497,38.96982
-9.32672,38.97089
-9.32494,38.97012
-9.32574,38.97106
-9.32534,38.97124
-9.32517,38.97112
-9.32304,38.9688
-9.32287,38.96927
-9.32405,38.97081
-9.32617,38.97217
-9.32581,38.97224
-9.32682,38.9727
-9.32705,38.97309
-9.32458,38.97141
-9.32096,38.97311
-9.32115,38.97315
-9.32705,38.97419
-9.32716,38.9743
-9.32725,38.97463
-9.32731,38.9752
-9.32726,38.9758
-9.32715,38.97606
-9.32714,38.97611
-9.32682,38.97627
-9.30972,38.86198
-9.31464,38.86539
-9.31423,38.86494
-9.3142,38.86545
-9.31372,38.86536
-9.31539,38.86617
-9.31514,38.866
-9.31618,38.86632
-9.31639,38.86657
-9.31614,38.8667
-9.31575,38.86677
-9.31563,38.8663
-9.31565,38.86637
-9.31538,38.86646
-9.3151,38.86623
-9.31556,38.86669
-9.31526,38.86677
-9.315,38.86565
-9.3144,38.86561
-9.3145,38.86574
-9.31486,38.8659
-9.31457,38.86607
-9.31395,38.86612
-9.31502,38.86635
-9.31497,38.86646
-9.31449,38.86623
-9.31436,38.86633
-9.31384,38.86624
-9.31377,38.86636
-9.31434,38.86661
-9.31429,38.86669
-9.31409,38.86671
-9.31402,38.86686
-9.31355,38.86514
-9.31329,38.86509
-9.31318,38.8651
-9.31364,38.86531
-9.31139,38.86416
-9.31101,38.86511
-9.31335,38.86612
-9.31271,38.86589
-9.31352,38.86661
-9.3135,38.8668
-9.3132,38.86661
-9.31186,38.86583
-9.31612,38.86695
-9.31627,38.86716
-9.31583,38.86707
-9.31633,38.86743
-9.31626,38.86751
-9.31588,38.86727
-9.31593,38.86743
-9.31566,38.86738
-9.31537,38.86747
-9.31522,38.86753
-9.31613,38.86767
-9.31542,38.86771
-9.31546,38.86784
-9.315,38.86694
-9.31475,38.86698
-9.31449,38.86743
-9.31447,38.8674
-9.31414,38.86727
-9.31377,38.86728
-9.31388,38.8675
-9.31381,38.86754
-9.31493,38.86788
-9.31457,38.86775
-9.3146,38.86783
-9.31445,38.86779
-9.31497,38.86825
-9.31478,38.86819
-9.31403,38.8677
-9.31433,38.86779
-9.3139,38.86787
