zipcode,parishcode,startdatetime,durationallocation
1000-018,110656,2024-11-10T05:00:00,360
1675-073,111608,2024-11-10T05:00:00,360
1675-073,111608,2024-12-01T05:00:37,360
1675-074,111608,2024-12-01T05:00:37,360
1675-074,111608,2024-11-10T05:00:00,360
1675-186,111608,2024-11-10T05:00:00,360
1675-186,111608,2024-12-01T05:00:37,360
1675-188,111608,2024-11-10T05:00:00,360
1675-188,111608,2024-12-01T05:00:37,360
1675-193,111608,2024-12-01T05:00:37,360
1675-193,111608,2024-11-10T05:00:00,360
1675-195,111608,2024-11-10T05:00:00,360
1675-195,111608,2024-12-01T05:00:37,360
1675-198,111608,2024-12-01T05:00:37,360
1675-198,111608,2024-11-10T05:00:00,360
1675-298,111608,2024-12-01T05:00:37,360
1675-298,111608,2024-11-10T05:00:00,360
1675-299,111608,2024-12-01T05:00:37,360
1675-299,111608,2024-11-10T05:00:00,360
1675-300,111608,2024-12-01T05:00:37,360
1675-300,111608,2024-11-10T05:00:00,360
1675-301,111608,2024-11-10T05:00:00,360
1675-301,111608,2024-12-01T05:00:37,360
1675-325,111608,2024-11-10T05:00:00,360
1675-325,111608,2024-12-01T05:00:37,360
1675-617,111608,2024-12-01T05:00:37,360
1675-617,111608,2024-11-10T05:00:00,360
1685-231,111608,2024-11-10T05:00:00,360
1685-231,111608,2024-12-01T05:00:37,360
1685-253,111608,2024-11-10T05:00:00,360
1685-253,111608,2024-12-01T05:00:37,360
1685-651,111608,2024-11-10T05:00:00,360
1685-651,111608,2024-12-01T05:00:37,360
1689-019,111608,2024-12-01T05:00:37,360
1689-019,111608,2024-11-10T05:00:00,360
1750-184,110618,2024-10-27T05:00:00,360
1750-927,110618,2024-10-27T05:00:00,360
2420-063,100907,2024-11-03T07:00:00,360
2420-068,100907,2024-11-03T07:00:00,360
2420-071,100907,2024-11-03T07:00:00,360
2420-077,100907,2024-11-03T07:00:00,360
2420-083,100907,2024-11-03T07:00:00,360
2420-084,100907,2024-11-03T07:00:00,360
2420-116,100907,2024-11-03T07:00:00,360
2420-122,100907,2024-11-03T07:00:00,360
2420-123,100907,2024-11-03T07:00:00,360
2420-124,100907,2024-11-03T07:00:00,360
2420-125,100907,2024-11-03T07:00:00,360
2495-182,100907,2024-11-03T07:00:00,360
2495-182,100938,2024-11-03T07:00:00,360
2495-193,100938,2024-11-03T07:00:00,360
2610-164,111512,2024-10-27T05:00:00,360
2640-223,110920,2024-11-24T06:00:44,360
2640-300,110920,2024-11-24T06:00:44,360
2640-302,110920,2024-11-24T06:00:44,360
2640-306,110920,2024-11-24T06:00:44,360
2640-308,110920,2024-11-24T06:00:44,360
2640-321,110920,2024-11-24T06:00:44,360
2640-328,110920,2024-11-24T06:00:44,360
2640-363,110920,2024-11-24T06:00:44,360
2640-416,110920,2024-11-24T06:00:44,360
2705-425,111127,2024-12-15T06:00:00,300
2705-437,111127,2024-10-27T05:00:00,360
2705-439,111127,2024-10-27T05:00:00,360
2705-454,111127,2024-10-27T05:00:00,360
2705-467,111127,2024-10-27T05:00:00,360
2705-470,111127,2024-10-27T05:00:00,360
2705-471,111127,2024-10-27T05:00:00,360
2705-474,111127,2024-10-27T05:00:00,360
2705-476,111127,2024-10-27T05:00:00,360
2705-490,111127,2024-10-27T05:00:00,360
2705-494,111127,2024-10-27T05:00:00,360
2705-506,111127,2024-10-27T05:00:00,360
2705-514,111127,2024-10-27T05:00:00,360
2705-515,111127,2024-10-27T05:00:00,360
2705-516,111127,2024-10-27T05:00:00,360
2705-528,111127,2024-10-27T05:00:00,360
2705-571,111127,2024-12-15T06:00:00,300
2705-585,111127,2024-10-27T05:00:00,360
2705-733,111127,2024-10-27T05:00:00,360
2705-831,111127,2024-12-15T06:00:00,300
2705-833,111127,2024-12-15T06:00:00,300
2705-838,111127,2024-12-15T06:00:00,300
2705-844,111127,2024-12-15T06:00:00,300
2705-846,111127,2024-12-15T06:00:00,300
2705-846,111127,2024-12-15T06:00:00,300
2705-848,111127,2024-12-15T06:00:00,300
2705-850,111127,2024-12-15T06:00:00,300
2705-851,111127,2024-12-15T06:00:00,300
2705-852,111127,2024-12-15T06:00:00,300
2705-853,111127,2024-12-15T06:00:00,300
2705-854,111127,2024-12-15T06:00:00,300
2705-859,111127,2024-12-15T06:00:00,300
2705-861,111127,2024-12-15T06:00:00,300
2705-864,111127,2024-12-15T06:00:00,300
2705-903,111127,2024-12-15T06:00:00,300
2705-907,111127,2024-12-15T06:00:00,300
2705-909,111127,2024-12-15T06:00:00,300
2705-916,111127,2024-12-15T06:00:00,300
2705-917,111127,2024-12-15T06:00:00,300
2705-918,111127,2024-12-15T06:00:00,300
2710-302,111128,2024-12-15T06:00:00,300
2710-326,111127,2024-12-15T06:00:00,300
2710-344,111128,2024-12-15T06:00:00,300
2710-648,111127,2024-12-15T06:00:00,300
2710-692,111127,2024-12-15T06:00:00,300
2710-696,111128,2024-12-15T06:00:00,300
2715-613,111123,2024-11-17T06:00:00,300
2715-618,111123,2024-11-17T06:00:00,300
2715-619,111123,2024-11-17T06:00:00,300
2715-620,111123,2024-11-17T06:00:00,300
2715-621,111123,2024-11-17T06:00:00,300
2715-622,111123,2024-11-17T06:00:00,300
2715-623,111123,2024-11-17T06:00:00,300
2715-624,111123,2024-11-17T06:00:00,300
2715-625,111123,2024-11-17T06:00:00,300
2715-626,111123,2024-11-17T06:00:00,300
2715-627,111123,2024-11-17T06:00:00,300
2715-628,111123,2024-11-17T06:00:00,300
2715-629,111123,2024-11-17T06:00:00,300
2715-630,111123,2024-11-17T06:00:00,300
2715-631,111123,2024-11-17T06:00:00,300
2715-632,111123,2024-11-17T06:00:00,300
2715-633,111123,2024-11-17T06:00:00,300
2715-634,111123,2024-11-17T06:00:00,300
2715-635,111123,2024-11-17T06:00:00,300
2715-636,111123,2024-11-17T06:00:00,300
2715-637,111123,2024-11-17T06:00:00,300
2715-638,111123,2024-11-17T06:00:00,300
2715-640,111123,2024-11-17T06:00:00,300
2715-641,111123,2024-11-17T06:00:00,300
2715-642,111123,2024-11-17T06:00:00,300
2715-643,111123,2024-11-17T06:00:00,300
2715-644,111123,2024-11-17T06:00:00,300
2715-645,111123,2024-11-17T06:00:00,300
2715-646,111123,2024-11-17T06:00:00,300
2715-647,111123,2024-11-17T06:00:00,300
2715-648,111123,2024-11-17T06:00:00,300
2715-649,111123,2024-11-17T06:00:00,300
2715-650,111123,2024-11-17T06:00:00,300
2715-651,111123,2024-11-17T06:00:00,300
2715-652,111123,2024-11-17T06:00:00,300
2715-654,111123,2024-11-17T06:00:00,300
2715-655,111123,2024-11-17T06:00:00,300
2715-656,111123,2024-11-17T06:00:00,300
2715-658,111123,2024-11-17T06:00:00,300
2715-659,111123,2024-11-17T06:00:00,300
2715-660,111123,2024-11-17T06:00:00,300
2715-661,111123,2024-11-17T06:00:00,300
2715-714,111123,2024-11-17T06:00:00,300
2715-717,111123,2024-11-17T06:00:00,300
2745-018,111126,2024-11-03T05:00:00,360
2745-026,111126,2024-11-03T05:00:00,360
2745-046,111126,2024-11-03T05:00:00,360
2745-162,111126,2024-11-03T05:00:00,360
2745-172,111126,2024-11-03T05:00:00,360
2745-175,111126,2024-11-03T05:00:00,360
2745-181,111126,2024-11-03T05:00:00,360
2745-223,111126,2024-11-03T05:00:00,360
2785-157,110506,2024-10-27T05:00:00,360
2785-175,110506,2024-10-27T05:00:00,360
2785-269,110506,2024-10-27T05:00:00,360
2785-270,110506,2024-10-27T05:00:00,360
2785-369,110506,2024-10-27T05:00:00,360
7005-326,070524,2024-11-10T06:30:07,120
7005-362,070524,2024-11-10T06:30:07,120
7005-433,070524,2024-11-10T06:30:07,120
7005-445,070524,2024-11-10T06:30:07,120
7005-513,070524,2024-11-10T06:30:07,120
7800-261,020521,2024-10-27T06:00:00,300
7800-269,020521,2024-10-27T06:00:00,300
7800-272,020521,2024-10-27T06:00:00,300
7800-275,020521,2024-10-27T06:00:00,300
7800-277,020521,2024-10-27T06:00:00,300
7800-279,020521,2024-10-27T06:00:00,300
7800-293,020521,2024-10-27T06:00:00,300
7800-299,020521,2024-10-27T06:00:00,300
7800-308,020521,2024-10-27T06:00:00,300
7800-314,020521,2024-10-27T06:00:00,300
7800-315,020521,2024-10-27T06:00:00,300
7800-319,020521,2024-10-27T06:00:00,300
7800-324,020521,2024-10-27T06:00:00,300
7800-327,020521,2024-10-27T06:00:00,300
7800-329,020521,2024-10-27T06:00:00,300
7800-331,020521,2024-10-27T06:00:00,300
7800-503,020521,2024-10-27T06:00:00,300
8365-101,081303,2024-11-10T06:00:00,300
8365-103,081303,2024-11-10T06:00:00,300
8365-104,081303,2024-11-10T06:00:00,300
8365-109,081303,2024-11-10T06:00:00,300
8365-116,081303,2024-11-10T06:00:00,300
8365-129,081303,2024-11-10T06:00:00,300
