x,y
-7.8449,37.46945
-7.84515,37.47085
-7.84497,37.47081
-7.84492,37.47041
-7.84486,37.47088
-7.84508,37.47113
-7.8451,37.47142
-7.84481,37.47108
-7.82389,37.47871
-7.82312,37.47858
-7.82167,37.47667
-7.82164,37.47677
-7.8216,37.47691
-7.82156,37.47661
-7.82146,37.477
-7.8212,37.47679
-7.8214,37.47721
-7.82157,37.47752
-7.82001,37.53309
-7.82111,37.53428
-7.82097,37.53452
-7.82096,37.53466
-7.82012,37.53356
-7.82014,37.53361
-7.82012,37.534
-7.82056,37.53441
-7.82035,37.53431
-7.82005,37.53419
-7.82018,37.53432
-7.81997,37.53429
-7.81947,37.53399
-7.8194,37.53407
-7.82112,37.53485
-7.84515,37.46948
-7.84536,37.47031
-7.84508,37.47033
-7.84512,37.47123
-7.8453,37.47161
-7.84524,37.47135
-7.84519,37.47155
-7.84476,37.47094
-7.84464,37.47097
-7.82124,37.47688
-7.82126,37.47701
-7.82221,37.47733
-7.82151,37.4773
-7.82223,37.47807
-7.82017,37.53311
-7.8199,37.53309
-7.82013,37.53336
-7.82007,37.53334
-7.81995,37.53337
-7.82103,37.53433
-7.82089,37.53437
-7.8203,37.53355
-7.8205,37.53403
-7.82074,37.53442
-7.82058,37.53436
-7.81998,37.53418
-7.81921,37.5337
-7.81945,37.53382
-7.81929,37.5339
-7.81923,37.53389
-7.81922,37.53398
-7.81907,37.534
-7.845,37.47048
-7.84493,37.47068
-7.84492,37.47089
-7.84495,37.47102
-7.82343,37.47846
-7.82289,37.47844
-7.82198,37.47708
-7.82132,37.47664
-7.82172,37.47767
-7.82134,37.47733
-7.82139,37.47747
-7.82131,37.47754
-7.82023,37.53324
-7.82009,37.53316
-7.82008,37.53323
-7.82105,37.53459
-7.82121,37.53472
-7.82023,37.53345
-7.8203,37.53381
-7.82019,37.5335
-7.81971,37.53389
-7.81976,37.534
-7.81966,37.53403
-7.81957,37.53409
-7.82061,37.53427
-7.82075,37.53431
-7.82049,37.53446
-7.82016,37.53422
-7.82004,37.53431
-7.81988,37.53442
-7.81949,37.53408
-7.81921,37.53415
-7.84528,37.46973
-7.84504,37.46959
-7.84517,37.46987
-7.84505,37.47073
-7.84492,37.47031
-7.84463,37.4709
-7.84485,37.47095
-7.82358,37.47856
-7.82105,37.47622
-7.82116,37.47637
-7.82167,37.47741
-7.82175,37.47746
-7.82183,37.47778
-7.82209,37.47799
-7.82135,37.53398
-7.82002,37.53343
-7.82,37.53355
-7.81956,37.534
-7.82052,37.53419
-7.82081,37.53452
-7.82063,37.53451
-7.82044,37.53455
-7.81991,37.53426
-7.81952,37.53376
-7.81945,37.53392
-7.81931,37.53397
-7.8193,37.53411
-7.81894,37.53427
